time,level,message,callsite,User
2021-12-01 00:38:05.1026,Info,Application Starting,AuthApp.Program.Main,
2021-12-01 00:39:13.2697,Info,Into GetMydata method,AuthApp.Controllers.MyController.GetMyData,
2021-12-01 00:39:13.7723,Error,Autp generated error,AuthApp.Controllers.MyController.GetMyData,
2021-12-01 01:25:55.1049,Info,Application Starting,AuthApp.Program.Main,
2021-12-01 01:27:43.1461,Info,Application Starting,AuthApp.Program.Main,
2021-12-01 01:27:53.5998,Info,Into GetMydata method,AuthApp.Controllers.MyController.GetMyData,
2021-12-01 01:27:53.6899,Info,Data fetched successfully,AuthApp.Controllers.MyController.GetMyData,
2021-12-01 01:47:03.8448,Info,Application Starting,AuthApp.Program.Main,
2021-12-01 01:51:03.1922,Info,Application Starting,AuthApp.Program.Main,
2021-12-01 01:51:10.2737,Info,Application Starting,AuthApp.Program.Main,
2021-12-01 01:51:22.5859,Info,Into GetMydata method,AuthApp.Controllers.MyController.GetMyData,
2021-12-01 01:51:22.6366,Info,Data fetched successfully,AuthApp.Controllers.MyController.GetMyData,
2021-12-01 01:51:41.3458,Info,Application Starting,AuthApp.Program.Main,
2021-12-01 01:52:23.5576,Info,Application Starting,AuthApp.Program.Main,
2021-12-01 01:53:03.0340,Info,Into GetMydata method,AuthApp.Controllers.MyController.GetMyData,
2021-12-01 01:53:03.0551,Info,Data fetched successfully,AuthApp.Controllers.MyController.GetMyData,
2021-12-01 23:47:34.5285,Info,Application Starting,AuthApp.Program.Main,
